Sport,Game_Date,Event,BetType,Is_Live,Fetched_At,Url,Source,Selection,Moneyline
NCAAB,2025-11-11 00:00:00+00:00,AKRON ZIPS vs DET,Moneyline,False,2026-02-15 20:18:11.964495+00:00,https://polymarket.com/event/cbb-pennst-akron-2025-11-12,Polymarket,AKRON ZIPS,104
NCAAB,2025-11-11 00:00:00+00:00,AKRON ZIPS vs DET,Moneyline,False,2026-02-15 20:18:11.964495+00:00,https://polymarket.com/event/cbb-pennst-akron-2025-11-12,Polymarket,DET,-104
NCAAB,2025-11-13 00:00:00+00:00,CAMPBELL FIGHTING CAMELS vs MID AMERICA CHRISTIAN EVANGELS,Moneyline,False,2026-02-15 20:18:11.964495+00:00,https://polymarket.com/event/cbb-midamc-camp-2025-11-14,Polymarket,CAMPBELL FIGHTING CAMELS,100
NCAAB,2025-11-13 00:00:00+00:00,CAMPBELL FIGHTING CAMELS vs MID AMERICA CHRISTIAN EVANGELS,Moneyline,False,2026-02-15 20:18:11.964495+00:00,https://polymarket.com/event/cbb-midamc-camp-2025-11-14,Polymarket,MID AMERICA CHRISTIAN EVANGELS,100
NCAAB,2025-11-14 00:00:00+00:00,ATL vs CENTRAL BAPTIST COLLEGE MUSTANGS,Moneyline,False,2026-02-15 20:18:11.964495+00:00,https://polymarket.com/event/cwbb-cbapm-lamon-2025-11-15,Polymarket,ATL,108
NCAAB,2025-11-14 00:00:00+00:00,ATL vs CENTRAL BAPTIST COLLEGE MUSTANGS,Moneyline,False,2026-02-15 20:18:11.964495+00:00,https://polymarket.com/event/cwbb-cbapm-lamon-2025-11-15,Polymarket,CENTRAL BAPTIST COLLEGE MUSTANGS,-108
NCAAB,2025-11-21 00:00:00+00:00,ATL vs SYRACUSE ORANGE,Moneyline,False,2026-02-15 20:18:11.964495+00:00,https://polymarket.com/event/cbb-stjoe-syra-2025-11-22,Polymarket,ATL,101
NCAAB,2025-11-21 00:00:00+00:00,ATL vs SYRACUSE ORANGE,Moneyline,False,2026-02-15 20:18:11.964495+00:00,https://polymarket.com/event/cbb-stjoe-syra-2025-11-22,Polymarket,SYRACUSE ORANGE,-101
NCAAB,2025-11-21 00:00:00+00:00,FLA vs GEORGIA COLLEGE AND STATE BOBCATS,Moneyline,False,2026-02-15 20:18:11.964495+00:00,https://polymarket.com/event/cbb-gcsu-sfl-2025-11-22,Polymarket,FLA,-111
NCAAB,2025-11-21 00:00:00+00:00,FLA vs GEORGIA COLLEGE AND STATE BOBCATS,Moneyline,False,2026-02-15 20:18:11.964495+00:00,https://polymarket.com/event/cbb-gcsu-sfl-2025-11-22,Polymarket,GEORGIA COLLEGE AND STATE BOBCATS,111
NCAAB,2025-11-22 00:00:00+00:00,BOS vs UTA,Moneyline,False,2026-02-15 20:18:11.964495+00:00,https://polymarket.com/event/cbb-boscol-utahst-2025-11-23,Polymarket,BOS,104
NCAAB,2025-11-22 00:00:00+00:00,BOS vs UTA,Moneyline,False,2026-02-15 20:18:11.964495+00:00,https://polymarket.com/event/cbb-boscol-utahst-2025-11-23,Polymarket,UTA,-104
NCAAB,2025-11-22 00:00:00+00:00,CLEMSON TIGERS vs XAVIER MUSKETEERS,Moneyline,False,2026-02-15 20:18:11.964495+00:00,https://polymarket.com/event/cbb-xav-clmsn-2025-11-23,Polymarket,CLEMSON TIGERS,100
NCAAB,2025-11-22 00:00:00+00:00,CLEMSON TIGERS vs XAVIER MUSKETEERS,Moneyline,False,2026-02-15 20:18:11.964495+00:00,https://polymarket.com/event/cbb-xav-clmsn-2025-11-23,Polymarket,XAVIER MUSKETEERS,100
NCAAB,2025-11-22 00:00:00+00:00,DET vs ST FRANCIS PA RED FLASH,Moneyline,False,2026-02-15 20:18:11.964495+00:00,https://polymarket.com/event/cbb-psshen-stfpa-2025-11-23,Polymarket,DET,108
NCAAB,2025-11-22 00:00:00+00:00,DET vs ST FRANCIS PA RED FLASH,Moneyline,False,2026-02-15 20:18:11.964495+00:00,https://polymarket.com/event/cbb-psshen-stfpa-2025-11-23,Polymarket,ST FRANCIS PA RED FLASH,-108
NCAAB,2025-11-23 00:00:00+00:00,CAR vs SOUTH DAKOTA COYOTES,Moneyline,False,2026-02-15 20:18:11.964495+00:00,https://polymarket.com/event/cbb-scarst-sdak-2025-11-24,Polymarket,CAR,111
NCAAB,2025-11-23 00:00:00+00:00,CAR vs SOUTH DAKOTA COYOTES,Moneyline,False,2026-02-15 20:18:11.964495+00:00,https://polymarket.com/event/cbb-scarst-sdak-2025-11-24,Polymarket,SOUTH DAKOTA COYOTES,-111
NCAAB,2025-11-23 00:00:00+00:00,FLA vs PHI,Moneyline,False,2026-02-15 20:18:11.964495+00:00,https://polymarket.com/event/cbb-soumis-pvam-2025-11-24,Polymarket,FLA,102
NCAAB,2025-11-23 00:00:00+00:00,FLA vs PHI,Moneyline,False,2026-02-15 20:18:11.964495+00:00,https://polymarket.com/event/cbb-soumis-pvam-2025-11-24,Polymarket,PHI,-102
NCAAB,2025-11-27 00:00:00+00:00,CAR vs CLEMSON TIGERS,Moneyline,False,2026-02-15 20:18:11.964495+00:00,https://polymarket.com/event/cbb-clmsn-wcar-2025-11-28,Polymarket,CAR,100
NCAAB,2025-11-27 00:00:00+00:00,CAR vs CLEMSON TIGERS,Moneyline,False,2026-02-15 20:18:11.964495+00:00,https://polymarket.com/event/cbb-clmsn-wcar-2025-11-28,Polymarket,CLEMSON TIGERS,100
NCAAB,2025-11-27 00:00:00+00:00,HOLY CROSS CRUSADERS vs PURDUE FORT WAYNE MASTODONS,Moneyline,False,2026-02-15 20:18:11.964495+00:00,https://polymarket.com/event/cbb-holy-ipfw-2025-11-28,Polymarket,HOLY CROSS CRUSADERS,100
NCAAB,2025-11-27 00:00:00+00:00,HOLY CROSS CRUSADERS vs PURDUE FORT WAYNE MASTODONS,Moneyline,False,2026-02-15 20:18:11.964495+00:00,https://polymarket.com/event/cbb-holy-ipfw-2025-11-28,Polymarket,PURDUE FORT WAYNE MASTODONS,100
NCAAB,2025-11-27 00:00:00+00:00,HOU vs MIN,Moneyline,False,2026-02-15 20:18:11.964495+00:00,https://polymarket.com/event/cbb-hou-arkst-2025-11-28,Polymarket,HOU,-100
NCAAB,2025-11-27 00:00:00+00:00,HOU vs MIN,Moneyline,False,2026-02-15 20:18:11.964495+00:00,https://polymarket.com/event/cbb-hou-arkst-2025-11-28,Polymarket,MIN,100
NCAAB,2025-11-28 00:00:00+00:00,ATL vs SJS,Moneyline,False,2026-02-15 20:18:11.964495+00:00,https://polymarket.com/event/cbb-maslow-liub-2025-11-29,Polymarket,ATL,100
NCAAB,2025-11-28 00:00:00+00:00,ATL vs SJS,Moneyline,False,2026-02-15 20:18:11.964495+00:00,https://polymarket.com/event/cbb-maslow-liub-2025-11-29,Polymarket,SJS,100
NCAAB,2025-11-28 00:00:00+00:00,BELLARMINE KNIGHTS vs NORTHERN ILLINOIS HUSKIES,Moneyline,False,2026-02-15 20:18:11.964495+00:00,https://polymarket.com/event/cbb-bella-nill-2025-11-29,Polymarket,BELLARMINE KNIGHTS,100
NCAAB,2025-11-28 00:00:00+00:00,BELLARMINE KNIGHTS vs NORTHERN ILLINOIS HUSKIES,Moneyline,False,2026-02-15 20:18:11.964495+00:00,https://polymarket.com/event/cbb-bella-nill-2025-11-29,Polymarket,NORTHERN ILLINOIS HUSKIES,100
NCAAB,2025-11-28 00:00:00+00:00,IND vs NJ,Moneyline,False,2026-02-15 20:18:11.964495+00:00,https://polymarket.com/event/cwbb-eureka-indst-2025-11-29,Polymarket,IND,-111
