Sport,Game_Date,Event,BetType,Is_Live,Fetched_At,Url,Source,Selection,Moneyline
NBA,2026-02-13 02:10:00+00:00,POR vs UTA,Moneyline,False,2026-02-11 21:26:28.718876+00:00,https://sportsbook.fanduel.com/navigation/nba?tab=upcoming&eventId=35247837,FanDuel,UTA,260
NBA,2026-02-13 03:10:00+00:00,DAL vs LAL,Moneyline,False,2026-02-11 21:26:28.718876+00:00,https://sportsbook.fanduel.com/navigation/nba?tab=upcoming&eventId=35247838,FanDuel,DAL,198
NBA,2026-02-13 03:10:00+00:00,DAL vs LAL,Moneyline,False,2026-02-11 21:26:28.718876+00:00,https://sportsbook.fanduel.com/navigation/nba?tab=upcoming&eventId=35247838,FanDuel,LAL,-240
NHL,2026-02-13 11:10:00+00:00,ITALY vs SLOVAKIA,Moneyline,False,2026-02-11 21:26:36.394857+00:00,https://sportsbook.fanduel.com/navigation/nhl?tab=upcoming&eventId=35248082,FanDuel,ITALY,1060
NHL,2026-02-13 11:10:00+00:00,ITALY vs SLOVAKIA,Moneyline,False,2026-02-11 21:26:36.394857+00:00,https://sportsbook.fanduel.com/navigation/nhl?tab=upcoming&eventId=35248082,FanDuel,SLOVAKIA,-2100
NHL,2026-02-13 11:10:17+00:00,FINLAND vs SWEDEN,Moneyline,False,2026-02-11 21:26:36.394857+00:00,https://sportsbook.fanduel.com/navigation/nhl?tab=upcoming&eventId=35248121,FanDuel,FINLAND,146
NHL,2026-02-13 11:10:17+00:00,FINLAND vs SWEDEN,Moneyline,False,2026-02-11 21:26:36.394857+00:00,https://sportsbook.fanduel.com/navigation/nhl?tab=upcoming&eventId=35248121,FanDuel,SWEDEN,-178
NHL,2026-02-13 20:10:00+00:00,ITALY W vs USA W,Moneyline,False,2026-02-11 21:26:36.394857+00:00,https://sportsbook.fanduel.com/navigation/nhl?tab=upcoming&eventId=35253263,FanDuel,ITALY W,4000
NHL,2026-02-13 20:10:00+00:00,ITALY W vs USA W,Moneyline,False,2026-02-11 21:26:36.394857+00:00,https://sportsbook.fanduel.com/navigation/nhl?tab=upcoming&eventId=35253263,FanDuel,USA W,-30000
NBA,2026-02-15 22:00:00+00:00,DAL vs USA STRIPES,Moneyline,False,2026-02-11 21:26:28.718876+00:00,https://sportsbook.fanduel.com/navigation/nba?tab=upcoming&eventId=35225866,FanDuel,DAL,108
NBA,2026-02-15 22:00:00+00:00,DAL vs USA STRIPES,Moneyline,False,2026-02-11 21:26:28.718876+00:00,https://sportsbook.fanduel.com/navigation/nba?tab=upcoming&eventId=35225866,FanDuel,USA STRIPES,-138
NBA,2026-02-15 22:35:00+00:00,DAL vs WORLD,Moneyline,False,2026-02-11 21:26:28.718876+00:00,https://sportsbook.fanduel.com/navigation/nba?tab=upcoming&eventId=35225867,FanDuel,DAL,114
NBA,2026-02-15 22:35:00+00:00,DAL vs WORLD,Moneyline,False,2026-02-11 21:26:28.718876+00:00,https://sportsbook.fanduel.com/navigation/nba?tab=upcoming&eventId=35225867,FanDuel,WORLD,-146
NBA,2026-02-15 23:10:00+00:00,USA STRIPES vs WORLD,Moneyline,False,2026-02-11 21:26:28.718876+00:00,https://sportsbook.fanduel.com/navigation/nba?tab=upcoming&eventId=35225868,FanDuel,USA STRIPES,-118
NBA,2026-02-15 23:10:00+00:00,USA STRIPES vs WORLD,Moneyline,False,2026-02-11 21:26:28.718876+00:00,https://sportsbook.fanduel.com/navigation/nba?tab=upcoming&eventId=35225868,FanDuel,WORLD,-108
