Sport,Game_Date,Event,BetType,Is_Live,Fetched_At,Url,Source,Selection,Moneyline
NBA,2026-02-13 00:43:00+00:00,MIL vs OKC,Moneyline,False,2026-02-12 20:03:50.655516+00:00,https://sportsbook.fanduel.com/navigation/nba?tab=upcoming&eventId=35247836,FanDuel,MIL,430
NBA,2026-02-13 00:43:00+00:00,MIL vs OKC,Moneyline,False,2026-02-12 20:03:50.655516+00:00,https://sportsbook.fanduel.com/navigation/nba?tab=upcoming&eventId=35247836,FanDuel,OKC,-670
NBA,2026-02-13 02:10:00+00:00,POR vs UTA,Moneyline,False,2026-02-12 20:03:50.655516+00:00,https://sportsbook.fanduel.com/navigation/nba?tab=upcoming&eventId=35247837,FanDuel,POR,-240
NBA,2026-02-13 02:10:00+00:00,POR vs UTA,Moneyline,False,2026-02-12 20:03:50.655516+00:00,https://sportsbook.fanduel.com/navigation/nba?tab=upcoming&eventId=35247837,FanDuel,UTA,194
NBA,2026-02-13 03:10:00+00:00,DAL vs LAL,Moneyline,False,2026-02-12 20:03:50.655516+00:00,https://sportsbook.fanduel.com/navigation/nba?tab=upcoming&eventId=35247838,FanDuel,DAL,210
NBA,2026-02-13 03:10:00+00:00,DAL vs LAL,Moneyline,False,2026-02-12 20:03:50.655516+00:00,https://sportsbook.fanduel.com/navigation/nba?tab=upcoming&eventId=35247838,FanDuel,LAL,-255
NHL,2026-02-13 11:10:17+00:00,FINLAND vs SWEDEN,Moneyline,False,2026-02-12 20:03:57.542817+00:00,https://sportsbook.fanduel.com/navigation/nhl?tab=upcoming&eventId=35248121,FanDuel,FINLAND,152
NHL,2026-02-13 11:10:17+00:00,FINLAND vs SWEDEN,Moneyline,False,2026-02-12 20:03:57.542817+00:00,https://sportsbook.fanduel.com/navigation/nhl?tab=upcoming&eventId=35248121,FanDuel,SWEDEN,-184
NHL,2026-02-13 11:11:00+00:00,ITALY vs SLOVAKIA,Moneyline,False,2026-02-12 20:03:57.542817+00:00,https://sportsbook.fanduel.com/navigation/nhl?tab=upcoming&eventId=35248082,FanDuel,ITALY,720
NHL,2026-02-13 11:11:00+00:00,ITALY vs SLOVAKIA,Moneyline,False,2026-02-12 20:03:57.542817+00:00,https://sportsbook.fanduel.com/navigation/nhl?tab=upcoming&eventId=35248082,FanDuel,SLOVAKIA,-1200
NHL,2026-02-13 15:40:00+00:00,CZECHIA vs FRANCE,Moneyline,False,2026-02-12 20:03:57.542817+00:00,https://sportsbook.fanduel.com/navigation/nhl?tab=upcoming&eventId=35248083,FanDuel,CZECHIA,-1700
